user_id,al farissi,ali ibrahim,alvi syahrini utami,anggina primanita,annisa darmawahyuni,danny matthew saputra,deris stiawan,desty rodiah,dian palupi rini,julian supardi,junia kurniati,kanda januar miraswan,mastura diana marieska,muhammad naufal rachmatullah,novi yusliani,rifkie primartha,rizki kurniati
mhs_21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
mhs_210,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mhs_211,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
mhs_212,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
mhs_213,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
mhs_214,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
mhs_215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
mhs_216,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
mhs_217,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
mhs_218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
mhs_219,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
mhs_22,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
mhs_220,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
mhs_221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
mhs_222,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
mhs_223,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
mhs_224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
mhs_225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
mhs_226,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
mhs_227,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
mhs_228,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
mhs_229,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mhs_23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
mhs_230,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mhs_231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
mhs_232,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
mhs_233,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
mhs_234,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
mhs_235,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
mhs_236,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
mhs_237,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
mhs_238,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
mhs_239,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
mhs_24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mhs_240,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mhs_241,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mhs_242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
mhs_243,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
mhs_244,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mhs_245,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
mhs_246,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mhs_247,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
mhs_248,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mhs_249,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mhs_25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
mhs_250,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
